"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.527530200E-2,-2.504658699E-2,4.571723938E-2,-1.441020966E-1
4.028018500E-2,-5.767768621E-2,3.449010849E-2,-1.847591400E-1
4.528506800E-2,-5.452919006E-2,2.120590210E-2,-8.712148666E-2
5.032046800E-2,-6.316977739E-2,1.651716232E-2,7.747268677E-2
5.532535100E-2,-5.058306456E-2,-5.255699158E-3,2.823810577E-1
6.033023400E-2,-3.045022488E-2,-2.277565002E-2,4.863367081E-1
6.533511700E-2,-3.420710564E-3,-5.762147903E-2,6.540822983E-1
7.033999900E-2,4.163897038E-2,-8.480739594E-2,7.214145660E-1
7.534488200E-2,1.564133763E-1,-8.000469208E-2,6.311750412E-1
8.038028300E-2,2.441025376E-1,-1.265807152E-1,4.639673233E-1
8.538516500E-2,2.492859960E-1,-1.626987457E-1,3.144063950E-1
9.039004800E-2,1.712502837E-1,-1.529412270E-1,1.076087952E-1
9.539493100E-2,1.199735403E-1,-1.566572189E-1,-6.203460693E-2
1.003998140E-1,4.094588757E-2,-1.689343452E-1,-2.361450195E-1
1.054352140E-1,-7.216024399E-2,-1.431884766E-1,-3.464546204E-1
1.104400970E-1,-1.467370987E-1,-6.970739365E-2,-3.256454468E-1
1.154449800E-1,-2.048447728E-1,-8.305788040E-2,-2.619743347E-1
1.204498630E-1,-1.936337948E-1,-3.797578812E-2,-2.366943359E-1
1.254547460E-1,-1.450609565E-1,1.544475555E-3,-2.659130096E-1
1.304901460E-1,-1.337330937E-1,-4.580640793E-2,-2.242269516E-1
1.354950290E-1,-1.219392419E-1,-6.883049011E-2,-1.362762451E-1
1.404999120E-1,-3.585577011E-2,-7.790708542E-2,1.000404358E-3
1.455047940E-1,8.534413576E-2,-7.835865021E-2,1.001834869E-1
1.505096770E-1,2.124102712E-1,-1.177558899E-1,4.603099823E-2
1.555450780E-1,2.559226155E-1,-1.220326424E-1,-2.736091614E-3
1.605499600E-1,2.254664302E-1,-1.836438179E-1,3.089618683E-2
1.655548430E-1,1.370604634E-1,-2.075281143E-1,1.350173950E-1
1.705597260E-1,6.688416004E-3,-2.197208405E-1,2.095203400E-1
1.755646090E-1,-1.600152254E-1,-2.416629791E-1,2.244529724E-1
1.806000090E-1,-2.684507370E-1,-2.316169739E-1,2.328805923E-1
1.856048920E-1,-2.804472446E-1,-1.928367615E-1,1.978368759E-1
1.906097750E-1,-1.943305135E-1,-1.888380051E-1,8.808135986E-2
1.956146580E-1,-1.247758865E-1,-2.126431465E-1,-6.893062592E-2
2.006195400E-1,-8.223056793E-2,-1.664276123E-1,-2.446622849E-1
2.056549410E-1,-9.410309792E-2,-1.691217422E-1,-3.891630173E-1
2.106598240E-1,-1.394566298E-1,-8.397912979E-2,-4.408168793E-1
2.156647060E-1,-1.337834001E-1,-4.602193832E-2,-4.138679504E-1
2.206695890E-1,-1.498876214E-1,-2.701854706E-2,-3.313570023E-1
2.256744720E-1,-1.886011362E-1,-6.166553497E-2,-1.676435471E-1
2.307098720E-1,-2.397573590E-1,-8.822298050E-2,7.925319672E-2
2.357147550E-1,-2.136958241E-1,-9.860992432E-2,1.750345230E-1
2.407196380E-1,-1.716869473E-1,-1.332631111E-1,2.615413666E-1
2.457245210E-1,-6.101799011E-2,-1.286101341E-1,3.777885437E-1
2.507294040E-1,4.943060875E-2,-1.536355019E-1,4.309577942E-1
