"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.101238650E-1,5.140338642E1,-5.130371100E-1,2.524565939E1,0.000000000E0,NaN,5.574400330E1,2.400000000E1
1.110950631E0,5.140338548E1,-5.130360100E-1,2.514751688E1,0.000000000E0,NaN,5.574400330E1,2.400000000E1
2.111381044E0,5.140338109E1,-5.130362500E-1,2.474419912E1,0.000000000E0,NaN,5.574400330E1,2.400000000E1
3.113230050E0,5.140337776E1,-5.130376200E-1,2.468450714E1,0.000000000E0,NaN,5.574400330E1,2.400000000E1
4.112662180E0,5.140337485E1,-5.130392100E-1,2.468450700E1,0.000000000E0,NaN,5.681600189E1,2.400000000E1
5.111812853E0,5.140337313E1,-5.130348100E-1,2.459088582E1,0.000000000E0,NaN,5.681600189E1,2.400000000E1
6.113194776E0,5.140337548E1,-5.130730300E-1,2.457844524E1,0.000000000E0,NaN,5.467200089E1,2.400000000E1
7.111451021E0,5.140338692E1,-5.131131600E-1,2.483528342E1,1.870000005E0,3.287999878E2,4.609600067E1,2.400000000E1
8.111004766E0,5.140338558E1,-5.131523300E-1,2.366909647E1,1.289999962E0,3.168999939E2,4.502400208E1,2.400000000E1
9.110736116E0,5.140339131E1,-5.131667500E-1,2.233484577E1,1.129999995E0,3.172000122E2,4.395199966E1,2.400000000E1
1.011188991E1,5.140338322E1,-5.131827800E-1,2.164818501E1,8.600000143E-1,3.073999939E2,4.395199966E1,2.400000000E1
1.111222111E1,5.140338052E1,-5.131893800E-1,2.176933310E1,6.999999881E-1,3.147000122E2,4.395199966E1,2.400000000E1
1.211665678E1,5.140338278E1,-5.131922000E-1,2.206070986E1,7.799999714E-1,3.142000122E2,4.502400208E1,2.400000000E1
1.311320756E1,5.140338377E1,-5.131841000E-1,2.228178892E1,8.000000119E-1,3.197000122E2,3.537599945E1,1.600000000E1
1.411097755E1,5.140337053E1,-5.131443100E-1,2.270585968E1,0.000000000E0,NaN,3.323200226E1,1.600000000E1
1.511312583E1,5.140337310E1,-5.131413200E-1,2.268944338E1,7.599999905E-1,3.193999939E2,3.752000046E1,1.600000000E1
1.611375207E1,5.140336285E1,-5.131254200E-1,2.272822772E1,0.000000000E0,NaN,3.323200226E1,1.600000000E1
1.711317827E1,5.140336278E1,-5.131286100E-1,2.273963725E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
1.811168904E1,5.140336202E1,-5.131302900E-1,2.274525083E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
1.911114211E1,5.140336126E1,-5.131311500E-1,2.274305296E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
2.011233581E1,5.140336059E1,-5.131315100E-1,2.274463985E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
2.111336221E1,5.140336029E1,-5.131317800E-1,2.274769146E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
