"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.240665000E-2,-9.004573822E-1,5.549776077E0,8.234079361E0
3.738101500E-2,-9.447765350E-1,5.644104004E0,7.944208145E0
4.238589800E-2,-1.001073837E0,5.652488708E0,7.810352325E0
4.739078100E-2,-1.010656357E0,5.647697449E0,7.878328323E0
5.242618100E-2,-1.028623581E0,5.647697449E0,8.062791824E0
5.743106400E-2,-1.019041061E0,5.625238419E0,8.325113297E0
6.243594700E-2,-9.962825775E-1,5.603677750E0,8.611091614E0
6.744083000E-2,-9.615459442E-1,5.560556412E0,8.873113632E0
7.244571200E-2,-9.028530121E-1,5.523424149E0,9.031225204E0
7.745059500E-2,-7.630081177E-1,5.521028519E0,9.010862350E0
8.248599600E-2,-6.444244385E-1,5.464731216E0,8.888685226E0
8.749087800E-2,-6.120834351E-1,5.418016434E0,8.765609741E0
9.249576100E-2,-6.731719971E-1,5.420412064E0,8.564376831E0
9.750064400E-2,-7.138977051E-1,5.410829544E0,8.385902405E0
1.025055270E-1,-7.893600464E-1,5.392862320E0,8.190958023E0
1.075409270E-1,-9.064464569E-1,5.415620804E0,8.053209305E0
1.125458100E-1,-9.890956879E-1,5.491083145E0,8.049615860E0
1.175506930E-1,-1.057371140E0,5.479104996E0,8.093935013E0
1.225555760E-1,-1.053777695E0,5.528215408E0,8.102319717E0
1.275604580E-1,-1.008260727E0,5.573732376E0,8.055604935E0
1.325958590E-1,-9.974803925E-1,5.529413223E0,8.083154678E0
1.376007420E-1,-9.843044281E-1,5.507852554E0,8.162210464E0
1.426056240E-1,-8.920726776E-1,5.499467850E0,8.297563553E0
1.476105070E-1,-7.594146729E-1,5.499467850E0,8.399078369E0
1.526153900E-1,-6.156768799E-1,5.458742142E0,8.345176697E0
1.576507900E-1,-5.545883179E-1,5.452753067E0,8.295167923E0
1.626556730E-1,-5.701599121E-1,5.386873245E0,8.328407288E0
1.676605560E-1,-6.480178833E-1,5.358125687E0,8.436210632E0
1.726654390E-1,-7.737884521E-1,5.341356277E0,8.516464233E0
1.776703220E-1,-9.423809052E-1,5.315004349E0,8.536827087E0
1.827057220E-1,-1.057371140E0,5.322191238E0,8.550003052E0
1.877106050E-1,-1.076536179E0,5.360521317E0,8.517662048E0
1.927154880E-1,-9.950847626E-1,5.365312576E0,8.406265259E0
1.977203710E-1,-9.280071259E-1,5.342554092E0,8.242464066E0
2.027252530E-1,-8.860836029E-1,5.391664505E0,8.054407120E0
2.077606540E-1,-8.980617523E-1,5.391664505E0,7.893899918E0
2.127655370E-1,-9.435787201E-1,5.481500626E0,7.825923920E0
2.177704190E-1,-9.363918304E-1,5.524621964E0,7.837602615E0
2.227753020E-1,-9.495677948E-1,5.548578262E0,7.908273697E0
2.277801850E-1,-9.843044281E-1,5.517435074E0,8.065187454E0
2.328155850E-1,-1.031019211E0,5.493478775E0,8.311937332E0
2.378204680E-1,-9.986782074E-1,5.485094070E0,8.409858704E0
2.428253510E-1,-9.483699799E-1,5.451555252E0,8.500892639E0
2.478302340E-1,-8.264923096E-1,5.457544327E0,8.624267578E0
2.528351170E-1,-7.019195557E-1,5.433588028E0,8.685356140E0
2.578705170E-1,-6.504135132E-1,5.422807693E0,8.812324524E0
2.628754000E-1,-6.480178833E-1,5.458742142E0,8.953367233E0
2.678802830E-1,-6.707763672E-1,5.402444839E0,9.164182663E0
2.728851650E-1,-7.450408936E-1,5.410829544E0,9.386676788E0
2.778900480E-1,-8.324813843E-1,5.447961807E0,9.530414581E0
2.829254490E-1,-9.160289764E-1,5.469522476E0,9.589107513E0
2.879303310E-1,-1.013051987E0,5.522226334E0,9.483699799E0
2.929352140E-1,-1.130437851E0,5.580919266E0,9.393863678E0
2.979400970E-1,-1.240636826E0,5.602479935E0,9.282766342E0
3.029449800E-1,-1.284955978E0,5.651290894E0,9.197721481E0
3.079803800E-1,-1.244230270E0,5.723159790E0,9.091115952E0
3.129852630E-1,-1.196317673E0,5.730346680E0,9.000082016E0
3.179901460E-1,-1.165174484E0,5.653686523E0,8.979719162E0
3.229950290E-1,-1.198713303E0,5.600084305E0,8.983312607E0
3.280304290E-1,-1.268186569E0,5.580919266E0,9.004873276E0
3.330353120E-1,-1.142416000E0,5.629730225E0,9.007268906E0
3.380401950E-1,-7.630081177E-1,5.614158630E0,8.944982529E0
3.430450780E-1,-3.524570465E-1,5.525819778E0,8.785972595E0
3.480499600E-1,-3.982734680E-2,5.528215408E0,8.523651123E0
3.530548430E-1,1.302623749E-1,5.505456924E0,8.367935181E0
3.580597260E-1,2.557334900E-1,5.541391373E0,8.455375671E0
3.630646090E-1,4.665489197E-1,5.462335587E0,8.682960510E0
3.680694920E-1,6.998233795E-1,5.255113602E0,9.070753098E0
3.730743740E-1,6.938343048E-1,5.038608551E0,9.638217926E0
3.781097750E-1,4.473838806E-1,4.984706879E0,1.025359535E1
3.831146580E-1,-5.090713501E-3,4.866123199E0,1.075038910E1
3.881195400E-1,-5.689620972E-1,4.759517670E0,1.115495110E1
3.931244230E-1,-1.132833481E0,4.613683701E0,1.141817093E1
3.981598240E-1,-1.047788620E0,4.388494492E0,1.139780807E1
4.031647060E-1,-4.551696777E-1,4.394483566E0,1.094533348E1
4.082001070E-1,-1.955432892E-1,4.499891281E0,1.039823151E1
4.132049900E-1,-1.931476593E-1,4.646923065E0,9.712482452E0
4.182098720E-1,-1.021137238E-1,4.817012787E0,9.009664536E0
4.232147550E-1,3.084373474E-2,5.009860992E0,8.276002884E0
4.282196380E-1,2.365684509E-1,5.245531082E0,7.633075714E0
