"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.529605400E-2,7.196426392E-2,-1.552772522E-1,2.937316895E-3
3.030093700E-2,7.944107056E-2,-1.393890381E-1,1.361846924E-2
3.527530200E-2,7.303237915E-2,-1.190948486E-1,3.377914429E-2
4.028018500E-2,5.273818970E-2,-9.452819824E-2,4.873275757E-2
4.528506800E-2,2.830505371E-2,-9.252548218E-2,6.261825562E-2
5.032046800E-2,4.806518555E-3,-1.073455811E-1,7.650375366E-2
5.532535100E-2,-8.010864258E-3,-1.180267334E-1,8.491516113E-2
6.033023400E-2,-1.655578613E-2,-1.297760010E-1,8.705139160E-2
6.533511700E-2,-1.014709473E-2,-1.436614990E-1,8.291244507E-2
7.033999900E-2,8.010864258E-3,-1.542091370E-1,7.329940796E-2
7.534488200E-2,3.351211548E-2,-1.478004456E-1,6.261825562E-2
8.038028300E-2,6.555557251E-2,-1.212310791E-1,4.552841187E-2
8.538516500E-2,9.746551514E-2,-9.038925171E-2,2.429962158E-2
9.039004800E-2,1.261711121E-1,-5.727767944E-2,1.041412354E-2
9.539493100E-2,1.464653015E-1,-3.391265869E-2,-3.471374512E-3
1.003998140E-1,1.528739929E-1,-2.643585205E-2,-1.508712769E-2
1.054352140E-1,1.560783386E-1,-2.750396729E-2,-2.042770386E-2
1.104400970E-1,1.518058777E-1,-4.032135010E-2,-1.935958862E-2
1.154449800E-1,1.507377625E-1,-5.514144897E-2,-1.401901245E-2
1.204498630E-1,1.464653015E-1,-7.650375366E-2,-2.403259277E-3
1.254547460E-1,1.400566101E-1,-1.030731201E-1,9.346008301E-3
1.304901460E-1,1.252365112E-1,-1.308441162E-1,2.323150635E-2
1.354950290E-1,1.102828979E-1,-1.456642151E-1,4.018783569E-2
1.404999120E-1,9.639739990E-2,-1.488685608E-1,5.514144897E-2
1.455047940E-1,8.571624756E-2,-1.447296143E-1,7.009506226E-2
1.505096770E-1,7.944107056E-2,-1.361846924E-1,7.436752319E-2
1.555450780E-1,6.875991821E-2,-1.276397705E-1,7.009506226E-2
1.605499600E-1,6.235122681E-2,-1.094818115E-1,6.048202515E-2
1.655548430E-1,6.341934204E-2,-9.773254395E-2,5.193710327E-2
1.705597260E-1,7.516860962E-2,-7.863998413E-2,4.232406616E-2
1.755646090E-1,9.105682373E-2,-5.620956421E-2,3.911972046E-2
1.806000090E-1,1.124191284E-1,-3.177642822E-2,4.018783569E-2
1.856048920E-1,1.336479187E-1,-1.575469971E-2,4.446029663E-2
1.906097750E-1,1.571464539E-1,-7.209777832E-3,3.805160522E-2
1.956146580E-1,1.773071289E-1,-8.277893066E-3,3.284454346E-2
2.006195400E-1,1.837158203E-1,-2.429962158E-2,2.750396729E-2
