"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.602463450E-1,5.140575991E1,-5.155644500E-1,1.917331484E1,1.169999957E0,1.113000031E2,3.216000080E0,4.000000000E0
1.958971028E0,5.140575567E1,-5.155542500E-1,1.937248837E1,5.099999905E-1,1.383000031E2,4.288000107E0,4.000000000E0
2.958505034E0,5.140575530E1,-5.155487900E-1,2.082787890E1,3.499999940E-1,1.383000031E2,3.216000080E0,4.000000000E0
3.958037686E0,5.140575548E1,-5.155472500E-1,2.144891347E1,4.000000060E-1,1.891000061E2,3.216000080E0,4.000000000E0
4.960680129E0,5.140575331E1,-5.155529400E-1,2.086596082E1,6.499999762E-1,2.398000031E2,3.216000080E0,4.000000000E0
5.961923146E0,5.140575266E1,-5.155592500E-1,2.121263285E1,4.499999881E-1,2.558999939E2,4.288000107E0,6.000000000E0
6.964796631E0,5.140575118E1,-5.155601400E-1,2.040312340E1,2.399999946E-1,2.436999969E2,4.288000107E0,6.000000000E0
7.961423345E0,5.140574728E1,-5.155560800E-1,2.072930301E1,5.899999738E-1,1.685000000E2,4.288000107E0,6.000000000E0
8.959736569E0,5.140574385E1,-5.155478100E-1,2.106183536E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
9.967334690E0,5.140574537E1,-5.155382600E-1,2.135646329E1,5.600000024E-1,1.245000000E2,4.288000107E0,6.000000000E0
1.096312125E1,5.140574862E1,-5.155313000E-1,2.138521765E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.196056947E1,5.140575101E1,-5.155299600E-1,2.156295218E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.296102916E1,5.140575412E1,-5.155248400E-1,2.213497820E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.395598519E1,5.140575577E1,-5.155225700E-1,2.213473589E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.495686034E1,5.140575658E1,-5.155215200E-1,2.212057655E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.595613253E1,5.140575699E1,-5.155209900E-1,2.212045489E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.695602445E1,5.140575725E1,-5.155207300E-1,2.209774998E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.795843111E1,5.140575738E1,-5.155205100E-1,2.210415887E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.895706465E1,5.140575753E1,-5.155205200E-1,2.208755719E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.995706954E1,5.140575766E1,-5.155206300E-1,2.208175863E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.095585334E1,5.140575777E1,-5.155207200E-1,2.208676332E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.195722974E1,5.140575791E1,-5.155207400E-1,2.210543996E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.295700348E1,5.140575799E1,-5.155208200E-1,2.208993688E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.395671525E1,5.140575804E1,-5.155208700E-1,2.209304958E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.495666634E1,5.140575812E1,-5.155208700E-1,2.211337423E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.595564779E1,5.140575820E1,-5.155209300E-1,2.211325203E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.695663680E1,5.140575830E1,-5.155209300E-1,2.212271242E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.795682096E1,5.140575841E1,-5.155209400E-1,2.212423821E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.895215101E1,5.140575847E1,-5.155209500E-1,2.212423816E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.995508304E1,5.140575856E1,-5.155210500E-1,2.213388153E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
3.095767642E1,5.140575863E1,-5.155211100E-1,2.214535601E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
3.195822662E1,5.140575868E1,-5.155211800E-1,2.214645453E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
3.295529120E1,5.140575874E1,-5.155212000E-1,2.214273132E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
3.395523151E1,5.140575877E1,-5.155211800E-1,2.214614929E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
