"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.698561090E-1,5.140463771E1,-5.122154600E-1,8.959764699E0,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.670491156E0,5.140464015E1,-5.122112000E-1,9.005483897E0,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.670327506E0,5.140463956E1,-5.122115200E-1,8.900625473E0,3.100000024E-1,2.156999969E2,3.216000080E0,6.000000000E0
3.667333491E0,5.140463915E1,-5.122092200E-1,8.742364523E0,3.100000024E-1,9.719999695E1,4.288000107E0,6.000000000E0
4.672269424E0,5.140464320E1,-5.122104200E-1,8.753041507E0,2.000000030E-1,7.319999695E1,4.288000107E0,6.000000000E0
5.676727181E0,5.140465078E1,-5.122079900E-1,9.575244280E0,1.289999962E0,3.309999847E1,3.216000080E0,6.000000000E0
6.674139780E0,5.140466377E1,-5.122030300E-1,8.377732419E0,1.279999971E0,1.770000076E1,3.216000080E0,6.000000000E0
7.673757692E0,5.140467473E1,-5.122011000E-1,9.373272198E0,1.250000000E0,2.410000038E1,3.216000080E0,6.000000000E0
8.672442948E0,5.140468614E1,-5.121958400E-1,9.743449736E0,1.250000000E0,2.520000076E1,3.216000080E0,6.000000000E0
9.674811173E0,5.140469672E1,-5.121860400E-1,9.987840168E0,1.279999971E0,4.550000000E1,3.216000080E0,6.000000000E0
1.067911966E1,5.140470592E1,-5.121722100E-1,1.051421908E1,1.289999962E0,5.290000153E1,3.216000080E0,6.000000000E0
1.167409257E1,5.140471355E1,-5.121584800E-1,9.430857669E0,1.289999962E0,5.650000000E1,3.216000080E0,6.000000000E0
1.267214496E1,5.140471103E1,-5.121572600E-1,1.011500393E1,1.360000014E0,1.898999939E2,3.216000080E0,6.000000000E0
1.367403897E1,5.140469803E1,-5.121670400E-1,1.020069323E1,1.460000038E0,2.018999939E2,3.216000080E0,6.000000000E0
1.467718610E1,5.140468643E1,-5.121713900E-1,1.065131776E1,1.450000048E0,1.600000000E2,4.288000107E0,6.000000000E0
1.567704245E1,5.140467347E1,-5.121719800E-1,1.037013646E1,1.419999957E0,1.746999969E2,3.216000080E0,6.000000000E0
1.667973765E1,5.140466481E1,-5.121703400E-1,1.060152847E1,1.409999967E0,1.086999969E2,3.216000080E0,6.000000000E0
1.767546817E1,5.140467102E1,-5.121685300E-1,1.092019130E1,1.389999986E0,3.465000000E2,3.216000080E0,6.000000000E0
1.867380092E1,5.140467948E1,-5.121754900E-1,1.039332142E1,1.350000024E0,1.979999924E1,3.216000080E0,6.000000000E0
1.967306196E1,5.140468565E1,-5.121786300E-1,1.019458292E1,1.330000043E0,8.899999619E0,3.216000080E0,6.000000000E0
2.067896086E1,5.140468157E1,-5.121943500E-1,1.157066409E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.167571492E1,5.140468583E1,-5.122063700E-1,1.104202044E1,1.309999943E0,3.000000119E-1,3.216000080E0,6.000000000E0
2.267115773E1,5.140469045E1,-5.122160700E-1,1.196577211E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.367361705E1,5.140468859E1,-5.122311600E-1,1.311883018E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.467352584E1,5.140469012E1,-5.122341900E-1,1.244810998E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.567068074E1,5.140469207E1,-5.122363100E-1,1.210087699E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.667225620E1,5.140469201E1,-5.122276100E-1,1.193536082E1,1.309999943E0,1.055999985E2,4.288000107E0,6.000000000E0
2.767564312E1,5.140468814E1,-5.122293300E-1,1.049822735E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.867567364E1,5.140468699E1,-5.122333200E-1,1.048741976E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.967102103E1,5.140468670E1,-5.122356900E-1,1.048973626E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
3.067102832E1,5.140468599E1,-5.122363000E-1,1.022978721E1,7.200000286E-1,1.129000015E2,4.288000107E0,6.000000000E0
3.167409795E1,5.140469003E1,-5.122433800E-1,9.889016240E0,1.269999981E0,3.323999939E2,4.288000107E0,6.000000000E0
3.267493159E1,5.140469580E1,-5.122613600E-1,1.069611838E1,1.259999990E0,2.938999939E2,4.288000107E0,6.000000000E0
3.367387226E1,5.140469891E1,-5.122817500E-1,1.046702532E1,1.240000010E0,3.073999939E2,4.288000107E0,6.000000000E0
3.467221476E1,5.140470247E1,-5.122977900E-1,1.009816702E1,1.230000019E0,3.032000122E2,3.216000080E0,6.000000000E0
3.567496079E1,5.140470291E1,-5.123056500E-1,8.980847107E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
3.667525511E1,5.140469717E1,-5.123083700E-1,9.367016791E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
3.767465396E1,5.140469517E1,-5.123071500E-1,8.702102660E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
3.867286479E1,5.140469465E1,-5.123001800E-1,8.227441510E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
3.966997744E1,5.140469367E1,-5.122967200E-1,7.954497357E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
4.067495483E1,5.140469323E1,-5.122952400E-1,8.135163600E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.167415394E1,5.140469301E1,-5.122945200E-1,8.138094352E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.267390248E1,5.140469290E1,-5.122941900E-1,8.142977658E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.367232956E1,5.140469283E1,-5.122940600E-1,8.135531581E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.467027268E1,5.140469279E1,-5.122940300E-1,8.130954009E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.567178955E1,5.140469337E1,-5.122945000E-1,8.085787015E0,1.700000018E-1,3.327000122E2,3.216000080E0,4.000000000E0
4.667065403E1,5.140469402E1,-5.122910900E-1,8.802831972E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.767252704E1,5.140469919E1,-5.122820900E-1,9.546675581E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.867100454E1,5.140470207E1,-5.122772700E-1,9.592395210E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.966992047E1,5.140470355E1,-5.122748200E-1,9.596669845E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.067005547E1,5.140470426E1,-5.122735400E-1,9.598746217E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.166958577E1,5.140470460E1,-5.122729700E-1,9.598868796E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.267136020E1,5.140470474E1,-5.122726800E-1,9.598136654E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.367123254E1,5.140470479E1,-5.122724900E-1,9.591606103E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.467081805E1,5.140470484E1,-5.122723500E-1,9.592338672E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.567099487E1,5.140470484E1,-5.122722900E-1,9.592338749E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.667042580E1,5.140470481E1,-5.122721900E-1,9.592155791E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.767217043E1,5.140470474E1,-5.122721500E-1,9.594719364E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.867458371E1,5.140470470E1,-5.122721200E-1,9.595024604E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.967099334E1,5.140470469E1,-5.122721300E-1,9.588066590E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.066614063E1,5.140470469E1,-5.122721300E-1,9.587944520E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.167168547E1,5.140470490E1,-5.122716100E-1,9.259697978E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.267780093E1,5.140470413E1,-5.122694600E-1,9.474239805E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.367234952E1,5.140470207E1,-5.122658200E-1,9.933108108E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.467255071E1,5.140470134E1,-5.122636800E-1,9.836065423E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
