"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.837767870E-1,5.140352932E1,-5.163268100E-1,1.334896133E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.680941261E0,5.140352838E1,-5.163260400E-1,1.336336722E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
2.680456517E0,5.140352652E1,-5.163279000E-1,1.377004330E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.679812814E0,5.140352616E1,-5.163254500E-1,1.300906034E1,2.199999988E-1,6.669999695E1,9.648000717E0,6.000000000E0
4.679536403E0,5.140352752E1,-5.163209100E-1,1.319076692E1,3.499999940E-1,3.620000076E1,9.648000717E0,6.000000000E0
5.679866659E0,5.140352566E1,-5.163142500E-1,1.350950224E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.680415613E0,5.140352617E1,-5.163118900E-1,1.336485161E1,2.099999934E-1,3.000000000E1,1.072000027E1,6.000000000E0
7.677396233E0,5.140352726E1,-5.163128100E-1,1.335538928E1,3.199999928E-1,3.467000122E2,1.072000027E1,6.000000000E0
8.679772896E0,5.140352865E1,-5.163139200E-1,1.412772582E1,2.199999988E-1,3.230000000E2,1.072000027E1,6.000000000E0
9.680480912E0,5.140353340E1,-5.163123600E-1,1.294883068E1,8.299999833E-1,3.000000000E0,1.072000027E1,8.000000000E0
1.068006919E1,5.140352659E1,-5.163229000E-1,1.355221518E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.168015346E1,5.140352169E1,-5.163281300E-1,1.362124243E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.268044444E1,5.140351917E1,-5.163306800E-1,1.362679501E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.367999230E1,5.140351781E1,-5.163319600E-1,1.362227766E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.468009849E1,5.140351702E1,-5.163324900E-1,1.364907192E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.567929990E1,5.140351657E1,-5.163328000E-1,1.365310014E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.668094557E1,5.140351499E1,-5.163343600E-1,1.429445659E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.767947317E1,5.140350587E1,-5.163536500E-1,1.557562681E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.868968290E1,5.140350082E1,-5.163635600E-1,1.559392796E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
1.968318727E1,5.140349570E1,-5.163659400E-1,1.683483401E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
2.068031018E1,5.140349332E1,-5.163674000E-1,1.691186005E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
2.168093851E1,5.140348650E1,-5.163698800E-1,1.715319432E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
2.268117840E1,5.140348306E1,-5.163704900E-1,1.719085447E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
2.367957048E1,5.140348126E1,-5.163706400E-1,1.719366307E1,0.000000000E0,NaN,1.072000027E1,8.000000000E0
2.468153392E1,5.140348029E1,-5.163705500E-1,1.718658374E1,0.000000000E0,NaN,9.648000717E0,8.000000000E0
2.568050282E1,5.140347975E1,-5.163703200E-1,1.718334952E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
2.668182834E1,5.140347948E1,-5.163701100E-1,1.718548620E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
2.768168385E1,5.140347934E1,-5.163698500E-1,1.715863115E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
2.867887249E1,5.140347925E1,-5.163695700E-1,1.716125608E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
2.968032046E1,5.140347918E1,-5.163691600E-1,1.717975030E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.068230540E1,5.140347912E1,-5.163688300E-1,1.718145975E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.167986139E1,5.140347897E1,-5.163684100E-1,1.720312786E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.268114914E1,5.140347890E1,-5.163680200E-1,1.721850927E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.367960242E1,5.140347876E1,-5.163676000E-1,1.723901771E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.468106434E1,5.140347861E1,-5.163672000E-1,1.723566139E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.568029678E1,5.140347845E1,-5.163669100E-1,1.724164331E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.667934647E1,5.140347836E1,-5.163667900E-1,1.724085006E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.768016011E1,5.140347829E1,-5.163665900E-1,1.724762526E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.867976213E1,5.140347823E1,-5.163664400E-1,1.727631202E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
3.968019651E1,5.140347813E1,-5.163662300E-1,1.728528452E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.068025343E1,5.140347808E1,-5.163658900E-1,1.729267024E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.167906624E1,5.140347800E1,-5.163658100E-1,1.726715770E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.268017191E1,5.140347796E1,-5.163656900E-1,1.726129851E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.367944820E1,5.140347789E1,-5.163655500E-1,1.727515371E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.467948919E1,5.140347778E1,-5.163653600E-1,1.726844016E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.567915247E1,5.140347774E1,-5.163651300E-1,1.725415825E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.667930236E1,5.140347775E1,-5.163648400E-1,1.726105559E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.768248636E1,5.140347769E1,-5.163646100E-1,1.725971315E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.868176412E1,5.140347765E1,-5.163644800E-1,1.722412985E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
4.968111198E1,5.140347749E1,-5.163642500E-1,1.720435485E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.068131541E1,5.140347735E1,-5.163640500E-1,1.720722385E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.168229619E1,5.140347724E1,-5.163638600E-1,1.722535161E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.268183244E1,5.140347712E1,-5.163637000E-1,1.721943148E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.368297384E1,5.140347698E1,-5.163634800E-1,1.722974680E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.468288602E1,5.140347687E1,-5.163632500E-1,1.721308456E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.568035029E1,5.140347688E1,-5.163631100E-1,1.720881228E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.667883242E1,5.140347686E1,-5.163629200E-1,1.719025785E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.767929871E1,5.140347677E1,-5.163628100E-1,1.718439867E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.868103559E1,5.140347661E1,-5.163626300E-1,1.716297566E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
5.967986126E1,5.140347647E1,-5.163624700E-1,1.714924305E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.068044641E1,5.140347635E1,-5.163623600E-1,1.714466563E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.167993620E1,5.140347624E1,-5.163623200E-1,1.712482933E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.267938572E1,5.140347609E1,-5.163622100E-1,1.710572556E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.367994676E1,5.140347596E1,-5.163621100E-1,1.711561347E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.467925238E1,5.140347591E1,-5.163620300E-1,1.710517659E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.568005472E1,5.140347580E1,-5.163619100E-1,1.710029401E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.668160706E1,5.140347573E1,-5.163618600E-1,1.708747673E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.768252367E1,5.140347570E1,-5.163617800E-1,1.708064092E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.868147898E1,5.140347576E1,-5.163617100E-1,1.707142466E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.968218382E1,5.140347577E1,-5.163615700E-1,1.703114163E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.068245168E1,5.140347577E1,-5.163615600E-1,1.703614653E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.168138235E1,5.140347575E1,-5.163615900E-1,1.704957423E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.268119188E1,5.140347567E1,-5.163615500E-1,1.705799719E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.367991119E1,5.140347564E1,-5.163614700E-1,1.705891284E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.468013426E1,5.140347563E1,-5.163613400E-1,1.704682805E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.568025134E1,5.140347560E1,-5.163612100E-1,1.703498742E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.668072868E1,5.140347557E1,-5.163610700E-1,1.704286115E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.768099711E1,5.140347567E1,-5.163609300E-1,1.705421380E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.868048685E1,5.140347568E1,-5.163607500E-1,1.705262711E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.967947674E1,5.140347564E1,-5.163605500E-1,1.704939253E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.068182137E1,5.140347752E1,-5.163583800E-1,1.679890580E1,3.199999928E-1,2.029999924E1,9.648000717E0,6.000000000E0
8.168285074E1,5.140347590E1,-5.163505700E-1,1.727554039E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.268331261E1,5.140347474E1,-5.163463000E-1,1.727389866E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.368115995E1,5.140347420E1,-5.163441600E-1,1.727799110E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.468057568E1,5.140347392E1,-5.163430800E-1,1.727597851E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.568033093E1,5.140347376E1,-5.163425000E-1,1.729221471E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.668193166E1,5.140347376E1,-5.163422100E-1,1.728409740E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.768071775E1,5.140347372E1,-5.163420800E-1,1.727561371E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.867978529E1,5.140347371E1,-5.163419800E-1,1.728299910E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
8.967916873E1,5.140347368E1,-5.163419100E-1,1.729178827E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.068041148E1,5.140347362E1,-5.163418600E-1,1.729752568E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.167947465E1,5.140347357E1,-5.163418200E-1,1.729245984E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.267965522E1,5.140347498E1,-5.163405000E-1,1.720548552E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.367951136E1,5.140347423E1,-5.163428300E-1,1.779068810E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.468190495E1,5.140347373E1,-5.163447700E-1,1.776914053E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.568110573E1,5.140347346E1,-5.163458100E-1,1.779782590E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.668041375E1,5.140347331E1,-5.163463400E-1,1.780545471E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.767978796E1,5.140347327E1,-5.163466400E-1,1.781222926E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.868036275E1,5.140347322E1,-5.163467700E-1,1.780813977E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
9.968009149E1,5.140347316E1,-5.163469600E-1,1.781985831E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.006803559E2,5.140347316E1,-5.163470800E-1,1.784207496E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.016802964E2,5.140347316E1,-5.163471500E-1,1.784097624E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.026807900E2,5.140347315E1,-5.163472600E-1,1.785110794E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.036808840E2,5.140347308E1,-5.163472500E-1,1.783859579E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.046802517E2,5.140347245E1,-5.163451800E-1,1.831912863E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.056810245E2,5.140347211E1,-5.163444200E-1,1.833341205E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.066812806E2,5.140347192E1,-5.163440400E-1,1.832602741E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.076815383E2,5.140347184E1,-5.163438800E-1,1.831906966E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.086807809E2,5.140347180E1,-5.163437600E-1,1.830918214E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.096803895E2,5.140347180E1,-5.163437800E-1,1.830887694E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.106816160E2,5.140347181E1,-5.163437800E-1,1.831046385E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.116810160E2,5.140347178E1,-5.163437800E-1,1.831827637E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.126801195E2,5.140347176E1,-5.163437800E-1,1.832181642E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.136808670E2,5.140347171E1,-5.163437500E-1,1.832474618E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.146799813E2,5.140347170E1,-5.163437100E-1,1.831754409E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.156794194E2,5.140347169E1,-5.163436600E-1,1.831217307E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.166790578E2,5.140347167E1,-5.163435300E-1,1.831034219E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.176799229E2,5.140347164E1,-5.163434000E-1,1.831284482E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.186794556E2,5.140347157E1,-5.163432600E-1,1.831559162E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.196811815E2,5.140347147E1,-5.163430700E-1,1.833548939E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.206824625E2,5.140347136E1,-5.163429500E-1,1.832346569E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.216804705E2,5.140347127E1,-5.163428800E-1,1.833359768E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.226795732E2,5.140346846E1,-5.163397500E-1,1.756102050E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.236795498E2,5.140346739E1,-5.163389500E-1,1.755046314E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.246808827E2,5.140346337E1,-5.163373700E-1,1.711699610E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
1.256811138E2,5.140345950E1,-5.163351200E-1,1.494506546E1,1.599999964E-1,1.275000000E2,9.648000717E0,6.000000000E0
1.266826775E2,5.140345558E1,-5.163267700E-1,1.497272763E1,3.799999952E-1,4.879999924E1,9.648000717E0,6.000000000E0
1.276831757E2,5.140345256E1,-5.163190500E-1,1.132833029E1,3.600000143E-1,3.320000000E2,9.648000717E0,6.000000000E0
1.286827858E2,5.140344837E1,-5.163238500E-1,1.153206223E1,1.100000024E0,2.708999939E2,9.648000717E0,6.000000000E0
1.296843371E2,5.140344030E1,-5.163315500E-1,1.253413282E1,1.100000024E0,2.403999939E2,9.648000717E0,4.000000000E0
1.306839644E2,5.140342758E1,-5.163311800E-1,1.486568454E1,1.090000033E0,2.126000061E2,9.648000717E0,4.000000000E0
1.316821881E2,5.140341440E1,-5.163277900E-1,1.487119062E1,1.080000043E0,1.918999939E2,9.648000717E0,4.000000000E0
1.326815619E2,5.140340204E1,-5.163224900E-1,1.480888855E1,1.090000033E0,1.803999939E2,9.648000717E0,4.000000000E0
1.336818912E2,5.140339212E1,-5.163124900E-1,1.445765048E1,1.080000043E0,1.606999969E2,9.648000717E0,4.000000000E0
