"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.397630000E-2,-1.372695923E0,5.871988297E0,9.221677780E0
6.898118300E-2,-1.695806503E0,6.985057831E0,9.754405975E0
7.398606600E-2,-1.791631699E0,7.596841812E0,1.012303352E1
7.899094800E-2,-2.099170685E0,7.480653763E0,9.932580948E0
8.399583100E-2,-1.885061264E0,7.132389069E0,9.531612396E0
8.900071400E-2,-1.206199646E0,6.884441376E0,9.183347702E0
9.400559700E-2,-7.968463898E-1,6.550550461E0,9.074346542E0
9.904099700E-2,-7.345600128E-1,6.154373169E0,8.912641525E0
1.040458800E-1,-7.657032013E-1,5.855218887E0,8.534431458E0
1.090507630E-1,-9.202213287E-1,5.633623123E0,8.119089127E0
1.140556460E-1,-1.031618118E0,5.398851395E0,7.831613541E0
1.190605280E-1,-9.777164459E-1,5.251819611E0,7.688175201E0
1.240654110E-1,-8.675174713E-1,5.229061127E0,7.666614532E0
1.291008120E-1,-8.124179840E-1,5.242237091E0,7.857965469E0
1.341056940E-1,-6.435260773E-1,5.360820770E0,8.067583084E0
1.391105770E-1,-7.094058990E-1,5.402444839E0,8.273607254E0
1.441459780E-1,-1.103187561E0,5.365612030E0,8.462562561E0
1.491508600E-1,-1.555961609E0,5.099697113E0,8.649421692E0
1.541557430E-1,-1.852720261E0,4.677167892E0,8.740455627E0
1.591606260E-1,-2.062337875E0,4.297760010E0,8.929410934E0
1.641655090E-1,-2.234523773E0,3.967163086E0,9.147413254E0
1.691703920E-1,-2.309986115E0,3.754251480E0,9.373500824E0
1.742057920E-1,-2.295612335E0,3.635667801E0,9.611865997E0
1.792106750E-1,-2.229732513E0,3.623689651E0,9.803216934E0
1.842155580E-1,-2.145885468E0,3.611711502E0,9.913415909E0
1.892204410E-1,-2.108753204E0,3.666810989E0,9.876283646E0
1.942253230E-1,-2.018018723E0,3.732690811E0,9.731647491E0
1.992302060E-1,-1.926984787E0,3.808153152E0,9.439380646E0
2.042656070E-1,-1.828763962E0,3.900085449E0,9.100698471E0
2.092704890E-1,-2.020414352E0,3.999504089E0,8.782379150E0
2.142753720E-1,-1.815587997E0,4.197143555E0,8.581146240E0
2.192802550E-1,-1.367904663E0,3.963569641E0,8.168199539E0
2.242851380E-1,-1.586805344E0,3.289798737E0,7.278522491E0
2.292900210E-1,-1.152297974E0,3.839296341E0,7.485744476E0
2.343254210E-1,-8.699131012E-1,4.692739487E0,8.024461746E0
2.393608210E-1,-8.375720978E-1,5.023036957E0,8.250848770E0
2.443657040E-1,-9.190235138E-1,4.755025864E0,7.987329483E0
2.493705870E-1,-9.226169586E-1,4.254638672E0,7.503711700E0
2.543754700E-1,-9.142322540E-1,3.780603409E0,7.217733383E0
2.593803530E-1,-9.142322540E-1,3.512292862E0,7.306072235E0
2.644157530E-1,-1.000474930E0,3.398500443E0,7.470172882E0
2.694206360E-1,-1.177452087E0,3.461984634E0,7.727703094E0
2.744255190E-1,-1.304420471E0,3.410478592E0,7.925043106E0
2.794304020E-1,-1.351135254E0,3.384126663E0,8.034044266E0
2.844352840E-1,-1.268486023E0,3.240688324E0,8.152627945E0
2.894401670E-1,-1.101989746E0,3.120906830E0,8.373924255E0
2.944755680E-1,-9.633426666E-1,3.038257599E0,8.572761536E0
2.994804500E-1,-9.801120758E-1,2.968784332E0,8.675773621E0
3.044853330E-1,-9.010562897E-1,2.932849884E0,8.741653442E0
3.094902160E-1,-6.279544830E-1,2.913684845E0,8.785972595E0
3.144950990E-1,-2.904701233E-1,2.863376617E0,8.846761703E0
3.195304990E-1,-1.527214050E-2,2.751081467E0,8.705718994E0
3.245353820E-1,7.336616516E-2,2.748685837E0,8.348770142E0
3.295402650E-1,-2.096176147E-3,2.777433395E0,8.122682571E0
3.345451480E-1,3.383827209E-2,2.882541656E0,8.172990799E0
3.395500300E-1,1.188831329E-1,3.019092560E0,8.511672974E0
3.445854310E-1,5.090713501E-3,2.995136261E0,8.959356308E0
3.495903140E-1,-2.772941589E-1,2.922069550E0,9.504062653E0
3.545951960E-1,-4.114494324E-1,2.880146027E0,1.036109924E1
3.596000790E-1,-4.030647278E-1,2.837324142E0,1.121963310E1
3.646049620E-1,-3.886909485E-1,2.686399460E0,1.177032852E1
3.696098450E-1,-3.982734680E-1,2.477979660E0,1.199162483E1
3.746452450E-1,-4.330101013E-1,2.266265869E0,1.198443794E1
3.796501280E-1,-2.784919739E-1,2.188407898E0,1.181913948E1
3.846550110E-1,-5.240440369E-2,2.162055969E0,1.176314163E1
3.896598940E-1,-3.467674255E-1,1.868890762E0,1.145530319E1
3.946647770E-1,-5.108680725E-1,1.803010941E0,1.093215752E1
3.997001770E-1,-6.028003693E-1,1.971603394E0,1.047608948E1
4.047050600E-1,-1.179847717E0,1.953636169E0,9.827173233E0
4.097099430E-1,-1.762884140E0,1.676042557E0,9.285161972E0
4.147148250E-1,-2.606744766E0,1.293041229E0,8.888685226E0
4.197197080E-1,-3.824323654E0,1.249919891E0,7.802865982E0
4.247245910E-1,-3.644651413E0,2.291419983E0,5.457843781E0
