"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.186082100E-2,8.811950684E-2,-2.586174011E-1,5.189704895E-1
5.686570400E-2,8.811950684E-2,-2.821159363E-1,5.444717407E-1
6.187058700E-2,1.030731201E-1,-3.108215332E-1,5.743789673E-1
6.687547000E-2,1.264381409E-1,-2.575492859E-1,5.966758728E-1
7.188035300E-2,1.403236389E-1,-1.340484619E-1,6.126976013E-1
7.688523500E-2,1.360511780E-1,1.188278198E-2,6.244468689E-1
8.189011800E-2,1.148223877E-1,1.216316223E-1,6.276512146E-1
8.689500100E-2,7.530212402E-2,1.524734497E-1,6.030845642E-1
9.189988400E-2,3.271102905E-2,1.130867004E-1,5.403327942E-1
9.693528400E-2,-9.880065918E-3,2.897262573E-2,4.646301270E-1
1.019401670E-1,-5.674362183E-2,-8.184432983E-2,3.974723816E-1
1.069450500E-1,-1.174926758E-1,-2.012062073E-1,3.400611877E-1
1.119499330E-1,-2.037429810E-1,-3.215026855E-1,3.005409241E-1
1.169548160E-1,-3.060150146E-1,-4.216384888E-1,2.686309814E-1
1.219596980E-1,-4.114913940E-1,-5.016136169E-1,2.440643311E-1
1.269950990E-1,-5.105590820E-1,-5.632972717E-1,2.206993103E-1
1.319999820E-1,-6.032180786E-1,-5.996131897E-1,2.004051208E-1
1.370048640E-1,-6.862640381E-1,-6.122970581E-1,1.738357544E-1
1.420402650E-1,-7.576942444E-1,-5.900001526E-1,1.428604126E-1
1.470451480E-1,-8.152389526E-1,-5.495452881E-1,1.301765442E-1
1.520500300E-1,-8.653068542E-1,-5.281829834E-1,1.333808899E-1
1.570549130E-1,-9.057617188E-1,-5.239105225E-1,1.449966431E-1
1.620597960E-1,-9.335327148E-1,-5.164337158E-1,1.620864868E-1
1.670646790E-1,-9.536933899E-1,-5.037498474E-1,1.813125610E-1
1.721000790E-1,-9.654426575E-1,-4.781150818E-1,2.078819275E-1
1.771049620E-1,-9.601020813E-1,-4.291152954E-1,2.228355408E-1
1.821098450E-1,-9.313964844E-1,-3.801155090E-1,2.303123474E-1
1.871147280E-1,-8.770561218E-1,-3.247070312E-1,2.345848083E-1
1.921196100E-1,-8.002853394E-1,-2.735710144E-1,2.335166931E-1
1.971244930E-1,-7.097625732E-1,-2.299118042E-1,2.281761169E-1
