"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.187058700E-2,0.000000000E0,0.000000000E0,-0.000000000E0
6.687547000E-2,-1.763331890E-1,5.517101288E-1,2.673416138E-1
7.188035300E-2,-1.988044977E-1,7.680935860E-1,4.263677597E-1
7.688523500E-2,-3.954372406E-1,4.803223610E-1,1.805839539E-1
8.189011800E-2,-1.577723026E-1,9.683084488E-2,-1.723136902E-1
8.689500100E-2,4.226156473E-1,-1.331849098E-1,-4.305868149E-1
9.189988400E-2,7.015547752E-1,-4.055385590E-1,-4.606704712E-1
9.693528400E-2,6.552932262E-1,-7.041931152E-1,-5.446033478E-1
1.019401670E-1,5.392396450E-1,-8.920230865E-1,-8.225746155E-1
1.069450500E-1,3.275268078E-1,-9.991703033E-1,-1.118923187E0
1.119499330E-1,1.739567518E-1,-1.114762783E0,-1.286330223E0
1.169548160E-1,1.831641197E-1,-1.145501137E0,-1.322267532E0
1.219596980E-1,2.426379919E-1,-1.062520981E0,-1.255241394E0
1.269950990E-1,2.464346886E-1,-9.542059898E-1,-1.005592346E0
1.319999820E-1,3.569008112E-1,-7.559480667E-1,-7.633743286E-1
1.370048640E-1,2.424839735E-1,-6.417598724E-1,-5.451078415E-1
1.420402650E-1,-1.712327600E-1,-6.078581810E-1,-3.592853546E-1
1.470451480E-1,-6.157068610E-1,-7.915902138E-1,-1.882953644E-1
1.520500300E-1,-8.904315233E-1,-1.114532948E0,-1.185989380E-1
1.570549130E-1,-1.071022987E0,-1.381758213E0,3.978729248E-2
1.620597960E-1,-1.210484385E0,-1.591762066E0,2.178106308E-1
1.670646790E-1,-1.253761649E0,-1.682936192E0,3.962049484E-1
1.721000790E-1,-1.211645842E0,-1.682344437E0,5.792713165E-1
1.771049620E-1,-1.122341871E0,-1.583210945E0,7.120866776E-1
1.821098450E-1,-1.019364595E0,-1.491853237E0,7.641267776E-1
1.871147280E-1,-9.645301104E-1,-1.344116688E0,6.758537292E-1
1.921196100E-1,-8.589664698E-1,-1.196680069E0,4.905786514E-1
1.971244930E-1,-7.562242746E-1,-1.050792217E0,1.732835770E-1
2.021598940E-1,-6.486085653E-1,-8.992290497E-1,-1.752023697E-1
2.071647770E-1,-8.214083910E-1,-7.511720657E-1,-4.897127151E-1
2.121696590E-1,-5.989879370E-1,-5.178346634E-1,-6.780099869E-1
2.171745420E-1,-1.430916786E-1,-7.141938210E-1,-1.063363075E0
2.221794250E-1,-3.483159542E-1,-1.336330414E0,-1.898196220E0
2.271843080E-1,8.370864391E-2,-7.560801506E-1,-1.645195961E0
2.322197080E-1,3.586823940E-1,1.014032364E-1,-1.077877045E0
2.372551090E-1,3.903108835E-1,4.253439903E-1,-8.293905258E-1
2.422599910E-1,3.172374964E-1,1.571907997E-1,-1.063090324E0
2.472648740E-1,3.259813786E-1,-3.300981522E-1,-1.505243301E0
2.522697570E-1,3.473919630E-1,-7.784442902E-1,-1.744996071E0
2.572746400E-1,3.605282307E-1,-1.013211250E0,-1.615558624E0
2.623100400E-1,2.903838158E-1,-1.089435577E0,-1.417947769E0
2.673149230E-1,1.349617243E-1,-9.884939194E-1,-1.135950089E0
2.723198060E-1,3.523576260E-2,-9.999861717E-1,-9.204273224E-1
2.773246890E-1,2.018177509E-2,-9.848732948E-1,-7.972612381E-1
2.823295710E-1,1.362444162E-1,-1.083739758E0,-6.677618027E-1
2.873344540E-1,3.366748095E-1,-1.157008648E0,-4.399452209E-1
2.923698550E-1,5.124719143E-1,-1.193512917E0,-2.378425598E-1
2.973747370E-1,5.400234461E-1,-1.218319893E0,-1.315288544E-1
3.023796200E-1,6.712868214E-1,-1.212327957E0,-6.064224243E-2
3.073845030E-1,1.002610207E0,-1.193045139E0,-8.354187012E-3
3.123893860E-1,1.404393673E0,-1.208279610E0,6.394958496E-2
3.174247860E-1,1.750574470E0,-1.288229942E0,-5.859375000E-2
3.224296690E-1,1.916113138E0,-1.262845516E0,-3.858413696E-1
3.274345520E-1,1.925416589E0,-1.211382866E0,-5.747623444E-1
3.324394350E-1,2.051198244E0,-1.089404821E0,-4.845657349E-1
3.374443180E-1,2.231805563E0,-9.429457188E-1,-1.076602936E-1
3.424797180E-1,2.225077629E0,-9.613509178E-1,3.760261536E-1
3.474846010E-1,2.062557936E0,-1.032708883E0,9.535284042E-1
3.524894840E-1,2.060873032E0,-1.078191280E0,1.837062836E0
3.574943660E-1,2.214385033E0,-1.131023884E0,2.717993736E0
3.624992490E-1,2.389200449E0,-1.296623945E0,3.295216560E0
3.675041320E-1,2.557287216E0,-1.524174690E0,3.554683685E0
3.725395320E-1,2.720747471E0,-1.760063648E0,3.603430748E0
3.775444150E-1,3.089125395E0,-1.868371964E0,3.515676498E0
3.825492980E-1,3.545894623E0,-1.932804108E0,3.559793472E0
3.875541810E-1,3.504244328E0,-2.267815113E0,3.381002426E0
3.925590640E-1,3.610315800E0,-2.382723808E0,3.020287991E0
3.975944640E-1,3.803739071E0,-2.273862362E0,2.762554169E0
4.025993470E-1,3.528947353E0,-2.358180046E0,2.350631714E0
4.076042300E-1,3.261798382E0,-2.704926014E0,2.085130215E0
4.126091120E-1,2.739408970E0,-3.157099724E0,1.999477863E0
4.176139950E-1,1.839677334E0,-3.272308826E0,1.258101940E0
4.226188780E-1,2.305677891E0,-2.315415859E0,-7.014322281E-1
4.276542780E-1,3.032392979E0,-1.530769825E0,-2.359060287E0
4.326591610E-1,2.383462906E0,-4.850893021E-1,-3.603326797E0
4.376945620E-1,1.015845776E0,4.033303261E-1,-5.069094658E0
4.426994440E-1,2.635211945E-1,1.040357113E0,-6.014556885E0
4.477043270E-1,2.621412277E-2,1.249876976E0,-6.784012794E0
4.527092100E-1,-5.748114586E-1,8.810033798E-1,-7.279184341E0
4.577140930E-1,-1.271362782E0,4.840426445E-1,-6.690182686E0
4.627189760E-1,-2.018725872E0,3.227939606E-1,-4.851624489E0
4.677238590E-1,-2.443786621E0,3.788566589E-1,-2.716197729E0
4.727287410E-1,-2.115577698E0,5.842542648E-1,-1.115350485E0
4.777641420E-1,-1.555553436E0,6.246175766E-1,2.237696648E-1
4.827690250E-1,-1.470792770E0,3.026828766E-1,1.332842827E0
4.877739070E-1,-2.064772129E0,-1.209669113E-1,2.204867840E0
4.927787900E-1,-3.005113602E0,-7.885532379E-1,-2.468955517E-1
4.977836730E-1,-4.189858913E0,-8.762893677E-1,-1.375892448E1
5.028190730E-1,-5.060196877E0,8.202762604E-1,-1.410446072E1
5.078239560E-1,-4.486252785E0,1.746711254E0,3.547418833E0
5.128288390E-1,-2.878263474E0,1.940485477E0,1.054954147E1
5.178337220E-1,-1.480731010E0,1.122065067E0,7.310562611E0
5.228386050E-1,-9.504365921E-1,-2.321643829E-1,2.997007370E0
5.278740050E-1,-9.409427643E-1,-7.150921822E-1,1.896387577E0
5.328788880E-1,-3.373804092E-1,-2.980060577E-1,2.609426975E0
5.378837710E-1,5.041980743E-1,8.978509903E-2,3.257610083E0
5.428886530E-1,4.092521667E-1,5.250930786E-3,3.588242531E0
5.478935360E-1,-2.732152939E-1,-3.680434227E-1,3.683125496E0
5.528984190E-1,-7.776546478E-1,-4.418010712E-1,3.283717394E0
5.579338190E-1,-6.480798721E-1,-2.895689011E-1,2.453949213E0
5.629387020E-1,-5.335407257E-1,-2.558355331E-1,1.828433275E0
5.679435850E-1,-1.206516266E0,-3.488764763E-1,1.915145636E0
5.729789850E-1,-2.546807289E0,-2.919621468E-1,2.201306581E0
5.779838680E-1,-3.986756325E0,3.768253326E-2,2.376086235E0
