"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.497254190E-1,5.140439876E1,-5.149807600E-1,1.503676391E1,1.309999943E0,3.017999878E2,3.216000080E0,6.000000000E0
1.549979633E0,5.140440436E1,-5.149916500E-1,1.330865795E1,1.309999943E0,3.007000122E2,3.216000080E0,6.000000000E0
2.545093847E0,5.140440884E1,-5.150033800E-1,1.321519520E1,1.320000052E0,3.047000122E2,4.288000107E0,6.000000000E0
3.546084780E0,5.140441558E1,-5.150171900E-1,1.364077129E1,1.379999995E0,3.092000122E2,4.288000107E0,8.000000000E0
4.547114307E0,5.140441763E1,-5.150295900E-1,1.233759246E1,1.379999995E0,2.926000061E2,4.288000107E0,8.000000000E0
5.547894719E0,5.140441721E1,-5.150418100E-1,1.254820942E1,1.350000024E0,2.828999939E2,4.288000107E0,8.000000000E0
6.548301538E0,5.140441467E1,-5.150554200E-1,1.097446318E1,1.330000043E0,2.782999878E2,4.288000107E0,8.000000000E0
7.545998564E0,5.140440975E1,-5.150722600E-1,1.123048731E1,1.330000043E0,2.713999939E2,5.360000134E0,8.000000000E0
8.546732830E0,5.140440466E1,-5.150906900E-1,1.019573802E1,1.379999995E0,2.777999878E2,5.360000134E0,8.000000000E0
9.547037045E0,5.140440296E1,-5.151102000E-1,8.846837206E0,1.409999967E0,2.870000000E2,5.360000134E0,8.000000000E0
1.054898954E1,5.140440497E1,-5.151308500E-1,7.857673725E0,1.440000057E0,2.933999939E2,5.360000134E0,8.000000000E0
1.155651433E1,5.140441218E1,-5.151523400E-1,6.981848072E0,1.500000000E0,3.027999878E2,6.432000160E0,8.000000000E0
1.254943104E1,5.140441930E1,-5.151703600E-1,7.908517153E0,1.529999971E0,3.107999878E2,5.360000134E0,8.000000000E0
1.354950817E1,5.140442629E1,-5.151887100E-1,7.966228376E0,1.529999971E0,3.022999878E2,5.360000134E0,8.000000000E0
1.454896791E1,5.140442602E1,-5.152080000E-1,8.059038335E0,1.500000000E0,2.581000061E2,4.288000107E0,8.000000000E0
1.555505483E1,5.140441955E1,-5.152264400E-1,9.005185934E0,1.490000010E0,2.373000031E2,4.288000107E0,6.000000000E0
1.655603722E1,5.140441732E1,-5.152399300E-1,7.645612013E0,1.460000038E0,2.663999939E2,4.288000107E0,6.000000000E0
1.755407873E1,5.140442003E1,-5.152509000E-1,7.127407732E0,1.429999948E0,2.786000061E2,4.288000107E0,6.000000000E0
1.854894549E1,5.140441863E1,-5.152587300E-1,6.966570984E0,1.419999957E0,2.398000031E2,4.288000107E0,6.000000000E0
1.954871148E1,5.140441535E1,-5.152592700E-1,5.552937173E0,4.499999881E-1,2.243999939E2,4.288000107E0,6.000000000E0
2.054551423E1,5.140441729E1,-5.152410500E-1,5.833415774E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.154524907E1,5.140441938E1,-5.152339700E-1,6.693775039E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.254635100E1,5.140442095E1,-5.152247900E-1,6.915343385E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.354714745E1,5.140442194E1,-5.152197200E-1,6.849553332E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.454849729E1,5.140442241E1,-5.152171000E-1,6.861519270E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.554892682E1,5.140442267E1,-5.152157900E-1,6.860300074E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
2.654787223E1,5.140442269E1,-5.152152300E-1,6.878367184E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
