"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","moto g(7) power"
"deviceBrand","motorola"
"deviceBoard","SDM632"
"deviceManufacturer","motorola"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","14"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","BMI160 Accelerometer"
"accelerometer Vendor","BOSCH"
"accelerometer Range","39.226044"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","2062701"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","39.226044"
"linear_acceleration Resolution","0.0023956299"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0799866"
"linear_acceleration Version","2"
"gravity Name","Gravity"
"gravity Vendor","QTI"
"gravity Range","39.226044"
"gravity Resolution","0.0023956299"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","1.0799866"
"gravity Version","2"
"gyroscope Name","BMI160 Gyroscope"
"gyroscope Vendor","BOSCH"
"gyroscope Range","34.907074"
"gyroscope Resolution","0.0010681152"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","2062701"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","TMD2725 ALS"
"light Vendor","AMS TAOS"
"light Range","1.0"
"light Resolution","0.05000305"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.1"
"light Version","1"
"proximity Name","TMD2725 PROX"
"proximity Vendor","AMS TAOS"
"proximity Range","5.0"
"proximity Resolution","0.05000305"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.1"
"proximity Version","2"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
